"Genus_species","Order","Family","CFAR","ProportionalGillAverage","AvgTemperature","MaximumBodySize","PrimaryHabitat","IUCNcategory","WaterColumnPosition"
"Carcharhinus_isodon","Carcharhiniformes","Carcharhinidae",2.45,0.0474,24.1878623033731,200,"Coastal","NT","Benthopelagic"
"Carcharhinus_leiodon","Carcharhiniformes","Carcharhinidae",2.45,0.0452,25.535466250717,165,"Coastal","EN","Benthopelagic"
"Carcharhinus_leucas","Carcharhiniformes","Carcharhinidae",1.323529412,0.0388,24.5702127253126,400,"Coastal","VU","Benthopelagic"
"Carcharhinus_limbatus","Carcharhiniformes","Carcharhinidae",1.505882353,0.0392,24.1465189148189,286,"Coastal","VU","Benthopelagic"
"Carcharhinus_longimanus","Carcharhiniformes","Carcharhinidae",3.072727273,0.037,16.2244827930322,350,"Pelagic","CR","Pelagic"
"Carcharhinus_macloti","Carcharhiniformes","Carcharhinidae",1.828571429,0.0366,25.9947329705551,99,"Coastal","NT","Benthic"
"Carcharhinus_melanopterus","Carcharhiniformes","Carcharhinidae",2.16,0.041,26.7615969197083,180,"Coastal","VU","Benthopelagic"
"Carcharhinus_obscurus","Carcharhiniformes","Carcharhinidae",2.784210526,0.0386,19.7171379408534,420,"Coastal","EN","Benthopelagic"
"Carcharhinus_perezii","Carcharhiniformes","Carcharhinidae",3.125,0.039,23.3265333218459,295,"Coastal","EN","Benthopelagic"
"Carcharhinus_plumbeus","Carcharhiniformes","Carcharhinidae",3.472222222,0.043,22.3982427538203,240,"Coastal","EN","Benthopelagic"
"Carcharhinus_porosus","Carcharhiniformes","Carcharhinidae",1.828571429,0.0354,25.1588163431738,150,"Coastal","CR","Benthopelagic"
"Carcharhinus_sealei","Carcharhiniformes","Carcharhinidae",2.776923077,0.0372,28.3900350171852,95,"Coastal","VU","Benthopelagic"
"Carcharhinus_signatus","Carcharhiniformes","Carcharhinidae",1.926666667,0.0332,20.0108148445026,280,"Pelagic","EN","Pelagic"
"Carcharhinus_sorrah","Carcharhiniformes","Carcharhinidae",2.688888889,0.029,26.4091696237316,196,"Coastal","NT","Benthopelagic"
"Carcharhinus_tilstoni","Carcharhiniformes","Carcharhinidae",4.225,0.031,25.7981365983524,200,"Coastal","LC","Pelagic"
"Carcharhinus_tjutjot","Carcharhiniformes","Carcharhinidae",1.633333333,0.0338,26.9323474266345,94,"Coastal","VU","Benthopelagic"
"Carcharias_taurus","Lamniformes","Carchariidae",1.152941176,0.0476,19.7231662008846,325,"Coastal","CR","Benthopelagic"
"Carcharodon_carcharias","Lamniformes","Lamnidae",4.033333333,0.0824,13.9864261332976,640,"Pelagic","VU","Pelagic"
"Centrophorus_atromarginatus","Squaliformes","Centrophoridae",1.5,0.026,13.7267719910206,99,"Deepwater","CR","Benthopelagic"
"Centrophorus_granulosus","Squaliformes","Centrophoridae",1.905882353,0.0408,14.7720473268141,176,"Deepwater","EN","Benthopelagic"
"Centrophorus_harrissoni","Squaliformes","Centrophoridae",1.633333333,0.0258,10.2655650531973,112,"Deepwater","EN","Benthopelagic"
"Centrophorus_isodon","Squaliformes","Centrophoridae",1.706666667,0.0294,8.09905666407972,108,"Deepwater","EN","Benthopelagic"
"Centrophorus_moluccensis","Squaliformes","Centrophoridae",1.706666667,0.023,13.4225043039671,101.7,"Deepwater","VU","Benthopelagic"
"Centrophorus_seychellorum","Squaliformes","Centrophoridae",2.627272727,0.0268,6.1155948638916,79.7,"Deepwater","LC","Benthic"
"Centrophorus_squamosus","Squaliformes","Centrophoridae",1.828571429,0.0266,11.0776600192755,166,"Deepwater","EN","Benthopelagic"
"Centrophorus_tessellatus","Squaliformes","Centrophoridae",1.905882353,0.0202,9.01316748576865,100,"Deepwater","EN","Benthopelagic"
"Centrophorus_uyato","Squaliformes","Centrophoridae",1.995,0.0274,10.6700648788256,128,"Deepwater","EN","Benthopelagic"
"Centrophorus_westraliensis","Squaliformes","Centrophoridae",2.314285714,0.0292,7.15408748050906,92,"Deepwater","DD","Benthic"
"Centroscyllium_excelsum","Squaliformes","Etmopteridae",0.8470588235,0.0338,4.26120936870575,68,"Deepwater","NT","Benthopelagic"
"Centroscyllium_fabricii","Squaliformes","Etmopteridae",0.9,0.0274,4.87458424977341,107,"Deepwater","LC","Benthopelagic"
"Centroscyllium_granulatum","Squaliformes","Etmopteridae",0.49,0.0168,6.98444875810967,62,"Deepwater","VU","Benthopelagic"
"Centroscyllium_kamoharai","Squaliformes","Etmopteridae",0.9,0.0286,6.0623273995237,63,"Deepwater","LC","Benthopelagic"
"Centroscyllium_nigrum","Squaliformes","Etmopteridae",0.9090909091,0.0242,7.17125088701897,51,"Deepwater","LC","Benthopelagic"
"Centroscyllium_ornatum","Squaliformes","Etmopteridae",0.7117647059,0.033,9.08282788078313,51.4,"Deepwater","LC","Benthopelagic"
"Centroscyllium_ritteri","Squaliformes","Etmopteridae",1.225,0.0234,5.86221462215434,48.5,"Deepwater","LC","Benthic"
"Centroscymnus_coelolepis","Squaliformes","Somniosidae",2.005555556,0.0232,7.11314120296634,137,"Deepwater","NT","Benthopelagic"
"Centroscymnus_owstonii","Squaliformes","Somniosidae",1.3,0.016,8.86908679192421,120,"Deepwater","VU","Benthopelagic"
"Centroselachus_crepidater","Squaliformes","Somniosidae",1.5,0.0186,8.04201067615892,105,"Deepwater","NT","Benthopelagic"
"Cephaloscyllium_albipinnum","Carcharhiniformes","Scyliorhinidae",1.323529412,0.026,11.0647670395433,110,"Deepwater","CR","Benthic"
"Cephaloscyllium_cooki","Carcharhiniformes","Scyliorhinidae",0.8333333333,0.018,12.5112863026167,30,"Deepwater","DD","Benthic"
"Cephaloscyllium_fasciatum","Carcharhiniformes","Scyliorhinidae",0.5785714286,0.0252,12.3364532381929,42.4,"Deepwater","CR","Benthic"
"Cephaloscyllium_hiscosellum","Carcharhiniformes","Scyliorhinidae",0.9090909091,0.0218,11.8053702741566,52,"Deepwater","LC","Benthic"
"Cephaloscyllium_isabellum","Carcharhiniformes","Scyliorhinidae",1,0.0326,11.8791655947741,92,"Deepwater","LC","Benthic"
"Cephaloscyllium_laticeps","Carcharhiniformes","Scyliorhinidae",0.8,0.0262,16.4027790450011,100,"Coastal","LC","Benthic"
"Cephaloscyllium_pictum","Carcharhiniformes","Scyliorhinidae",1.536363636,0.0198,10.8954995576437,71.7,"Deepwater","DD","Benthic"
"Cephaloscyllium_sarawakensis","Carcharhiniformes","Scyliorhinidae",1.107692308,0.0182,20.3692787358211,44,"Coastal","CR","Benthic"
"Cephaloscyllium_signourum","Carcharhiniformes","Scyliorhinidae",0.8333333333,0.027,8.2680351336466,74,"Deepwater","DD","Benthic"
"Cephaloscyllium_silasi","Carcharhiniformes","Scyliorhinidae",0.6666666667,0.0258,14.1141272295483,49.5,"Deepwater","CR","Benthic"
