Subclass,Order,Family,Genus,Species,Genus_species,GenusSpaceSpecies,area_sqkm,Endemic_lessthan149246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,notocaudatus,Squalus_notocaudatus,Squalus notocaudatus,48487,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,quasimodo,Squalus_quasimodo,Squalus quasimodo,45346,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,rancureli,Squalus_rancureli,Squalus rancureli,578,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,raoulensis,Squalus_raoulensis,Squalus raoulensis,439,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,shiraii,Squalus_shiraii,Squalus shiraii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,suckleyi,Squalus_suckleyi,Squalus suckleyi,3434528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,atromarginatus,Centrophorus_atromarginatus,Centrophorus atromarginatus,66633,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,granulosus,Centrophorus_granulosus,Centrophorus granulosus,2898533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,harrissoni,Centrophorus_harrissoni,Centrophorus harrissoni,25940,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,isodon,Centrophorus_isodon,Centrophorus isodon,35272,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,lesliei,Centrophorus_lesliei,Centrophorus lesliei,3377,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,longipinnis,Centrophorus_longipinnis,Centrophorus longipinnis,13390,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,moluccensis,Centrophorus_moluccensis,Centrophorus moluccensis,439270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,seychellorum,Centrophorus_seychellorum,Centrophorus seychellorum,11,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,squamosus,Centrophorus_squamosus,Centrophorus squamosus,3980579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,tessellatus,Centrophorus_tessellatus,Centrophorus tessellatus,75150,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,uyato,Centrophorus_uyato,Centrophorus uyato,1028242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,westraliensis,Centrophorus_westraliensis,Centrophorus westraliensis,9648,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Deania,calcea,Deania_calcea,Deania calcea,3583275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Deania,profundorum,Deania_profundorum,Deania profundorum,774972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Deania,quadrispinosa,Deania_quadrispinosa,Deania quadrispinosa,347473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Aculeola,nigra,Aculeola_nigra,Aculeola nigra,84262,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Centroscyllium,excelsum,Centroscyllium_excelsum,Centroscyllium excelsum,1460,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Centroscyllium,fabricii,Centroscyllium_fabricii,Centroscyllium fabricii,4886208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Centroscyllium,granulatum,Centroscyllium_granulatum,Centroscyllium granulatum,15878,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Centroscyllium,kamoharai,Centroscyllium_kamoharai,Centroscyllium kamoharai,84568,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Centroscyllium,nigrum,Centroscyllium_nigrum,Centroscyllium nigrum,380831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Centroscyllium,ornatum,Centroscyllium_ornatum,Centroscyllium ornatum,38814,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Centroscyllium,ritteri,Centroscyllium_ritteri,Centroscyllium ritteri,132943,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,alphus,Etmopterus_alphus,Etmopterus alphus,4733,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,benchleyi,Etmopterus_benchleyi,Etmopterus benchleyi,5563,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,bigelowi,Etmopterus_bigelowi,Etmopterus bigelowi,3268196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,brachyurus,Etmopterus_brachyurus,Etmopterus brachyurus,263405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,brosei,Etmopterus_brosei,Etmopterus brosei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,bullisi,Etmopterus_bullisi,Etmopterus bullisi,192203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,burgessi,Etmopterus_burgessi,Etmopterus burgessi,4832,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,carteri,Etmopterus_carteri,Etmopterus carteri,259,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,caudistigmus,Etmopterus_caudistigmus,Etmopterus caudistigmus,1987,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,compagnoi,Etmopterus_compagnoi,Etmopterus compagnoi,135414,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,decacuspidatus,Etmopterus_decacuspidatus,Etmopterus decacuspidatus,816,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,dianthus,Etmopterus_dianthus,Etmopterus dianthus,4038,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,dislineatus,Etmopterus_dislineatus,Etmopterus dislineatus,23626,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,evansi,Etmopterus_evansi,Etmopterus evansi,20285,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,fusus,Etmopterus_fusus,Etmopterus fusus,3967,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,gracilispinis,Etmopterus_gracilispinis,Etmopterus gracilispinis,3599485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,granulosus,Etmopterus_granulosus,Etmopterus granulosus,3599485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,hillianus,Etmopterus_hillianus,Etmopterus hillianus,182832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,joungi,Etmopterus_joungi,Etmopterus joungi,6041,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,lailae,Etmopterus_lailae,Etmopterus lailae,1161,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,lii,Etmopterus_lii,Etmopterus lii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,litvinovi,Etmopterus_litvinovi,Etmopterus litvinovi,2902,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,lucifer,Etmopterus_lucifer,Etmopterus lucifer,2485437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,marshae,Etmopterus_marshae,Etmopterus marshae,51,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,molleri,Etmopterus_molleri,Etmopterus molleri,658224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,molleri,Etmopterus_parini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,perryi,Etmopterus_perryi,Etmopterus perryi,2963,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,polli,Etmopterus_polli,Etmopterus polli,137731,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,princeps,Etmopterus_princeps,Etmopterus princeps,2101541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,pseudosqualiolus,Etmopterus_pseudosqualiolus,Etmopterus pseudosqualiolus,5686,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,pusillus,Etmopterus_pusillus,Etmopterus pusillus,5295077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,pycnolepis,Etmopterus_pycnolepis,Etmopterus pycnolepis,3314,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,robinsi,Etmopterus_robinsi,Etmopterus robinsi,39503,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,samadiae,Etmopterus_samadiae,Etmopterus samadiae,779,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
