"","order_name","family_name","genus_name","species_name","scientific_name","upper_depth_iucn_api","lower_depth_iucn_api","upper_depth_genus_mean","lower_depth_genus_mean","upper_depth_combined","lower_depth_combined","num_surface_cells_dissolved_oxygen","num_total_cells_dissolved_oxygen","num_depths_dissolved_oxygen","extreme_min_dissolved_oxygen_micromoles_per_kg","extreme_max_dissolved_oxygen_micromoles_per_kg","extreme_dif_dissolved_oxygen_micromoles_per_kg","average_dissolved_oxygen_micromoles_per_kg","num_surface_cells_temperature","num_total_cells_temperature","num_depths_temperature","extreme_min_temperature_celsius","extreme_max_temperature_celsius","extreme_dif_temperature_celsius","average_temperature_celsius"
"32","RAJIFORMES","RAJIDAE","Amblyraja","jenseni","Amblyraja jenseni",165,2550,474.1,1829.9,165,2550,39,25716,49,116.391983032227,336.717315673828,140.058197021484,257.948014329206,159,271591,49,-2.0998101234436,19.8607902526855,8.88340950012207,5.72676983142005
"33","RAJIFORMES","RAJIDAE","Amblyraja","radiata","Amblyraja radiata",0,1400,474.1,1829.9,0,1400,42,32241,55,92.7306060791016,459.997863769531,348.090118408203,291.251477017274,171,407718,55,-2.09999990463257,26.1155910491943,22.3849010467529,4.58644229544911
"34","RAJIFORMES","RAJIDAE","Amblyraja","reversa","Amblyraja reversa",1500,1500,474.1,1829.9,1500,1500,1,1,1,31.2690124511719,49.7038078308105,18.4347953796387,37.9647369384766,4,6,1,5.09450006484985,5.63009977340698,0.535599708557129,5.39520168304443
"35","RAJIFORMES","RAJIDAE","Amblyraja","robertsi","Amblyraja robertsi",1150,1350,474.1,1829.9,1150,1350,2,5,5,175.352066040039,189.927322387695,12.0536804199219,182.205209350586,8,25,5,2.81700992584229,3.21328997612,0.193880081176758,2.96999320030212
"36","RAJIFORMES","RAJIDAE","Amblyraja","taaf","Amblyraja taaf",150,1810,474.1,1829.9,150,1810,1,41,41,173.134262084961,302.545257568359,124.203628540039,212.763417313739,3,161,41,2.48839998245239,5.66418981552124,3.17519974708557,3.56489906251801
"37","RAJIFORMES","ANACANTHOBATIDAE","Anacanthobatis","marmorata","Anacanthobatis marmorata",200,435,200,435,200,435,7,50,10,132.96403503418,229.402297973633,75.1001434326172,197.475920715332,26,350,10,8.45010948181152,17.3896007537842,2.34641075134277,13.1856001091003
"38","RHINOPRISTIFORMES","PRISTIDAE","Anoxypristis","cuspidata","Anoxypristis cuspidata",0,128,0,128,0,128,50,4676,22,0,239.355834960938,223.633819580078,177.18822396342,196,36829,22,2.84528994560242,32.3907127380371,26.8639011383057,26.9882264803149
"39","RHINOPRISTIFORMES","PRISTIDAE","Anoxypristis","cuspidata","Anoxypristis cuspidata",0,128,0,128,0,128,50,4676,22,0,239.355834960938,223.633819580078,177.18822396342,196,36829,22,2.84528994560242,32.3907127380371,26.8639011383057,26.9882264803149
"40","RHINOPRISTIFORMES","PRISTIDAE","Anoxypristis","cuspidata","Anoxypristis cuspidata",0,128,0,128,0,128,50,4676,22,0,239.355834960938,223.633819580078,177.18822396342,196,36829,22,2.84528994560242,32.3907127380371,26.8639011383057,26.9882264803149
"41","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","albisoma","Apristurus albisoma",935,1564,576.9,1299.775,935,1564,6,318,13,123.133155822754,200.650588989258,38.4267044067383,166.359442081092,22,3578,13,2.85701012611389,5.79931020736694,0.668500423431396,3.89293181642998
"42","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","ampliceps","Apristurus ampliceps",800,1503,576.9,1299.775,800,1503,16,904,15,148.956604003906,229.426193237305,50.5949096679688,185.371867222069,64,8560,15,2.52419996261597,7.6414098739624,2.13020992279053,4.46520793376682
"43","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","aphyodes","Apristurus aphyodes",800,1900,576.9,1299.775,800,1900,20,947,23,175.924087524414,324.673461914062,52.4873504638672,255.352837760949,81,6433,23,-2.09411001205444,10.4579000473022,7.23921012878418,4.78527694563811
"44","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","australis","Apristurus australis",485,1035,576.9,1299.775,485,1035,30,1316,13,101.635848999023,257.238830566406,49.3755722045898,195.952826462256,122,15134,13,3.30440998077393,12.8051900863647,2.51589965820312,7.05797542507368
"45","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","breviventralis","Apristurus breviventralis",1000,1120,576.9,1299.775,1000,1120,3,27,3,9.0339527130127,43.8361892700195,28.0957260131836,24.971863216824,9,259,3,7.3252100944519,10.9006004333496,1.44200897216797,8.69708879573925
"46","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","brunneus","Apristurus brunneus",33,1298,576.9,1299.775,33,1298,65,8394,46,0,352.834350585938,335.287017822266,92.2471654581007,260,91692,46,2.1747100353241,29.4048900604248,20.1844005584717,8.73243587579901
"47","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","bucephalus","Apristurus bucephalus",920,1140,576.9,1299.775,920,1140,2,12,6,149.357208251953,187.316070556641,12.9812316894531,166.723528544108,4,48,6,3.5101900100708,4.71479988098145,0.58080005645752,3.98586625357469
"48","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","canutus","Apristurus canutus",521,915,576.9,1299.775,521,915,14,106,9,107.222946166992,175.179946899414,52.1240844726562,134.035115295986,56,503,9,4.91878986358643,12.7177906036377,3.26958036422729,8.11559101506683
"49","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","exsanguis","Apristurus exsanguis",415,1200,576.9,1299.775,415,1200,22,2669,18,153.418060302734,310.4794921875,60.9449462890625,214.146567472227,88,29699,18,2.67539000511169,12.0543098449707,3.04410028457642,6.86442212344155
"50","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","fedorovi","Apristurus fedorovi",635,1505,576.9,1299.775,635,1505,8,101,18,32.8634872436523,84.3955688476562,27.7560844421387,46.263042563259,32,1197,18,2.20321011543274,4.97118997573853,1.32558989524841,2.96853720872922
"51","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","garricki","Apristurus garricki",570,1200,576.9,1299.775,570,1200,21,863,14,156.189895629883,264.591125488281,45.3135833740234,199.988789033503,87,8508,14,2.83910989761353,10.8518905639648,1.90679979324341,6.42465967805833
"52","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","gibbosus","Apristurus gibbosus",600,913,576.9,1299.775,600,913,9,17,7,72.4182968139648,138.495025634766,48.4579696655273,97.8579783720129,37,147,7,4.62619018554688,8.50039005279541,0.893310070037842,6.11003984723772
"53","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","herklotsi","Apristurus herklotsi",423,910,576.9,1299.775,423,910,28,372,12,55.9818801879883,192.374649047852,49.7995834350586,111.807252412201,113,2047,12,3.23978996276855,16.0535907745361,2.66769981384277,9.01234618092841
"54","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","indicus","Apristurus indicus",1282,1840,576.9,1299.775,1282,1840,14,340,12,16.8957443237305,126.613319396973,54.1187057495117,66.3247515341815,57,3953,12,3.93238997459412,8.64739990234375,2.39499998092651,4.9569587279898
"55","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","investigatoris","Apristurus investigatoris",907,1040,576.9,1299.775,907,1040,8,24,4,41.4619522094727,72.2817535400391,23.7044258117676,54.7063380877177,31,224,4,5.82209014892578,7.64840984344482,0.776000022888184,6.7594527219023
"56","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","japonicus","Apristurus japonicus",820,915,576.9,1299.775,820,915,8,9,3,36.7078170776367,88.2173004150391,29.7133903503418,52.1212662590875,32,82,3,2.77560997009277,4.67880010604858,1.0576000213623,3.2455952371039
"57","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","kampae","Apristurus kampae",180,1888,576.9,1299.775,180,1888,45,2230,42,0,143.673950195312,57.7128982543945,35.2876233058125,179,22699,42,2.46060991287231,18.288200378418,10.5012092590332,5.90170888474
"58","CARCHARHINIFORMES","PENTANCHIDAE","Apristurus","laurussonii","Apristurus laurussonii",560,2060,576.9,1299.775,560,2060,45,7383,31,118.867195129395,336.717315673828,70.1508636474609,265.419430107149,181,71646,31,-2.0998101234436,11.9147996902466,7.23921012878418,2.91076193186602
